X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_AGRUP
DAC;04;DAC_CODCLI;C;8;0;Cód Cliente;Cód Cliente;Client Code;Código do Cliente;Codigo del Cliente;Client Code;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;1;xxxxxx x;;;S;;A;R;;;;;;;;;001;;N;;;N;N;N;;
DAC;05;DAC_LOJCLI;C;4;0;Loja Cliente;Tienda Clien;Custom Store;Loja do Cliente;Tienda del Cliente;Customer Store;@!;Iif(Empty(M->DAC_CODCLI),Vazio(),.F.) .Or. ExistCPO('SA1',M->DAC_CODCLI+M->DAC_LOJCLI,1);x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;1;xxxxxx x;;;S;;A;R;;;;;;;;;002;;N;;;N;N;N;;
DAC;06;DAC_CTRLKM;C;1;0;Controla K.M;Control K.M.;Control K.M.;Controla K.M. da Frota?;Controlar K.M. da Frotar?;Control or K.M. Gives Rub;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;1;xxxxxx x;;;S;S;A;R;;;1=Sim|2=Não;1=Sí|2=No;1=Yes|2=No;;;;;1;S;;;S;N;N;;
